,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,14 likes,3 images,Scott Addict RC 10 56cm (Large),"7,500",Well used,Meetup,2 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"Letting go a Scott Addict RC 10 purchased in late 2020. Components as follow:

1. Scott Addict RC 10 HMX Frame 56cm
2. SRAM Force 12-speed with 172.5mm crank
3. 48/35 power chainrings with power meter
4. Syncros Creston IC one piece carbon fiber handlebar ($900 new)
5. Latest Lun Hypers D45 wheelset (~$1650 new)
6. Look Keo 2 Max carbon fiber pedals

I am 1.82m tall. 

Slight scratch on the rear derailleur but does not affect function. Still working beautifully. Very minor scratch on the right brake lever, almost non-noticeable.

Other than the above, the bike is well taken care of. Wipe down after every ride and serviced 2x a year. In fact I just serviced the bike with new SRAM BB and Silca bar tape!

This is one of the most underrated bike in the market. It’s all you need for a road bike and will last you for years to come. ",N,NA,NA,Y,Bangkit Road,1.37899435,103.7741518,junda07,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,53,https://www.carousell.sg/p/scott-addict-rc-10-56cm-large-1241001447/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=N9Fm4bT6sWVUFmqt&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1602
1,27 likes,3 images,French Bike LOOK 765 FULL CARBON size 49,"3,000",Like new,Meetup,1 month ago,Road Bikes,Posted,Used once or twice. As good as new.,"weigh 7.2kg , full Ultegra , Xentis wheels @3k, just full service, new bar tape and tyres..",N,NA,NA,Y,468C Fernvale Link,1.39666312,103.87776973,ap1965,Joined 11 months ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/french-bike-look-765-full-carbon-size-49-1238448098/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=7BjN4cUt6cUbP5J4&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2402
2,3 likes,3 images,"Fujie roadbike                     not fixie, bike,",700,Heavily used,Meetup,5 days ago,Road Bikes,Posted,Has obvious signs of use or defects.,"no pc only dirt, 
road bike want to buy  a fixie can trade also 
can nego",N,NA,NA,Y,Jelapang LRT Station (BP12),1.38658997,103.76459776,chaiyj,Joined 11 months ago,Very Responsive,Verified,NA,NA,NA,3.0,2,https://www.carousell.sg/p/fujie-roadbike-not-fixie-bike-1243429423/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AQAt4pfd0qkK4rV9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=568
3,33 likes,5 images,Vintage road bike,"1,000",Like new,Meetup,2 months ago,Road Bikes,Posted,Used once or twice. As good as new.,vintage bike with shimano group set..viewing near serangoon north,N,NA,NA,Y,Serangoon North,1.37050112,103.87229968,shyan5369,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,5.0,8,https://www.carousell.sg/p/vintage-road-bike-1228452827/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fE_PmI5gsJMfuo-b&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2073
4,64 likes,7 images,Ascent Bolt Mini Velo,"1,000",Like new,Meetup,2 months ago,Road Bikes,Posted,Used once or twice. As good as new.,"Bought in Oct 2021 and hardly used
Tiagra groupset
Shimano disc brakes
Stratus wheelset 

No obligations to view
Price negotiable
Delivery within Singapore can be arranged (requires deposit)",N,NA,NA,Y,Blk 120 Toa Payoh Lorong 2,1.33951932,103.84563149,bsplenden,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,106,https://www.carousell.sg/p/ascent-bolt-mini-velo-1233148038/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Rcv-b6pDaCver96S&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=79
5,94 likes,5 images,Sworks SL6 SRAM Red Tap Electronic Group set,"5,800 6,300",Lightly used,Meetup,2 months ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Sworks SL6 Tarmac Rim Brake 

Size: 49 

Accessories :
- SRAM Red eTap 11 speed Electronic Groupset
- Campagnolo Bora WTO wheelset 
- Sworks Gripton Turbo Tires 
- Sworks Aerofly Carbon Handlebar 
- Zipp SL Sprint Carbon Stem 
- Ridea Ceramic Oversized Pulley
- Ceramic Speed BB
- Supacaz Carbon Bottle Cage 

Purple custom decal and Chrome Sworks Logo (can be removed) 

Not include Paddle & Saddle ",N,NA,NA,Y,Summer Gardens,1.33136697,103.95082144,davechoymk,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,1,https://www.carousell.sg/p/sworks-sl6-sram-red-tap-electronic-group-set-1229040072/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=bqngu9DPepr-Wonv&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1910
6,2 likes,2 images,Carbon wheel set,"1,500",Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Shimano Dura Ace wheel set
Clincher carbon rims
Without QR
Comes with wheel bag",N,NA,NA,Y,Alfa hmart,1.27537193,103.84103444,woody47,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,8,https://www.carousell.sg/p/carbon-wheel-set-1240411772/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=BOW7RK1_OHkCvLyI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1796
7,10 likes,7 images,Btwin ULTRA AFGF 500 Large Size,700,Lightly used,Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Bike was fully reconditioned. 
$650 for fast deal.
Interested can test ride at Postal Code 310239 void deck.

Full specifications:
",N,NA,NA,Y,Blk 239 Toa Payoh Lorong 1,1.34025242,103.850864,alamak77,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,5.0,37,https://www.carousell.sg/p/btwin-ultra-afgf-500-large-size-1239113409/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XOcjX40NGTj-vB1y&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2185
8,34 likes,3 images,Basso Diamante SV Frameset ONLY - size 48,"3,499",Like new,Meetup,1 month ago,Road Bikes,Posted,Used once or twice. As good as new.,"For sale -  Basso Diamanté SV frameset size 48
- including handlebar and seatpost. 

This bike have very low mileage which less than 1000km.

Feel free to Pm me for more info

RFS: new project coming soon 


",N,NA,NA,Y,Blk 351 Clementi Avenue 2,1.31466834,103.77051456,legsorecannotride,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,5.0,5,https://www.carousell.sg/p/basso-diamante-sv-frameset-only-size-48-1238463579/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=7BjN4cUt6cUbP5J4&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2395
9,33 likes,5 images,S-Works Tarmac SL4 Red Edition (WTT),"3,100",Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","
S-Works Tarmac SL4 Red Edition 
(Rare Colourway)

Size 54

Full SRAM RED Mechanical Groupset
Ultegra Cassette
Giant SLR 1 60mm wheelset (Tubeless Ready)

Some light scratches from riding, no falls and no crashes

Mostly looking to trade for upgrade :D
Low ballers will be ignored 

Thanks for viewing and ride safe! ",N,NA,NA,Y,Tampines MRT Station (EW2/DT32),1.35350085,103.94510601,Velorum,Joined 6 months ago,Mostly Responsive,Verified,NA,NA,NA,5.0,9,https://www.carousell.sg/p/s-works-tarmac-sl4-red-edition-wtt-1239234227/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=kvvAdmVCNyg10WcJ&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2140
