iter	MultiClass
0	1.00579203
1	0.9134778546
2	0.8138858674
3	0.7603475185
4	0.6964207211
5	0.6414296002
6	0.5884394505
7	0.5417950316
8	0.503213415
9	0.4687054727
10	0.4381136003
11	0.4092023019
12	0.3825011191
13	0.3575849694
14	0.3347985547
15	0.3149341573
16	0.2915743709
17	0.277802535
18	0.261305806
19	0.2477836713
20	0.2381232531
21	0.2241457546
22	0.2109227059
23	0.1983557271
24	0.1869751582
25	0.1768204112
26	0.169616292
27	0.1606259513
28	0.1546809477
29	0.1464625515
30	0.138495065
31	0.1334059202
32	0.1259102187
33	0.1200470068
34	0.1153080645
35	0.1101226087
36	0.105642501
37	0.100084219
38	0.09639455381
39	0.09276336924
40	0.08843800868
41	0.084829497
42	0.08259942971
43	0.07938728812
44	0.07633957896
45	0.07262947048
46	0.06966322251
47	0.06696909778
48	0.06502448872
49	0.06203692707
50	0.05996637489
51	0.05762298116
52	0.05599746624
53	0.05408295508
54	0.05252344324
55	0.05062788783
56	0.04940214169
57	0.0480462408
58	0.04651523139
59	0.04534966298
60	0.0443395902
61	0.04305193994
62	0.04188355668
63	0.04095461919
64	0.03918265164
65	0.03784901563
66	0.03693016643
67	0.03626281019
68	0.03489219772
69	0.03387190814
70	0.03277279248
71	0.03171188974
72	0.03113536692
73	0.0303335787
74	0.02933308402
75	0.02853393856
76	0.02749596663
77	0.02700138943
78	0.0263559451
79	0.02531403684
80	0.02468610533
81	0.0241204184
82	0.02353533177
83	0.02292830281
84	0.02220194388
85	0.02172330287
86	0.021215182
87	0.02088791662
88	0.0202568702
89	0.01990244738
90	0.01942716845
91	0.01894440908
92	0.01855656594
93	0.01801446202
94	0.01747558814
95	0.01721758089
96	0.01687735982
97	0.01652168347
98	0.01610626836
99	0.01569649661
100	0.01533229013
101	0.01494375621
102	0.01474038265
103	0.0144433169
104	0.01419641195
105	0.01407021278
106	0.01375262572
107	0.01359249937
108	0.01337915656
109	0.01325124271
110	0.01304645911
111	0.01275453739
112	0.01253081467
113	0.01235218351
114	0.01210821094
115	0.01187332026
116	0.01172541331
117	0.0116215068
118	0.0114351798
119	0.01122214836
120	0.01110427602
121	0.01089398509
122	0.01070061493
123	0.01059028368
124	0.0104571817
125	0.01032669508
126	0.01019600972
127	0.01007461089
128	0.009907706793
129	0.009763633928
130	0.009641577127
131	0.009490819488
132	0.009342622303
133	0.009194681633
134	0.00908832408
135	0.008987182256
136	0.008873483212
137	0.008772734371
138	0.00864289175
139	0.00853794055
140	0.008454566554
141	0.008366588163
142	0.008295917311
143	0.008196988543
144	0.008085463311
145	0.008005722428
146	0.007929451952
147	0.007843363729
148	0.007777491669
149	0.007713415105
150	0.007646899356
151	0.007564058295
152	0.007495245746
153	0.007397210088
154	0.007324043154
155	0.007233960752
156	0.007154965086
157	0.007068328311
158	0.007019046403
159	0.00696442959
160	0.006904952326
161	0.006854582067
162	0.006795692858
163	0.00674578764
164	0.006705524697
165	0.006653215691
166	0.006603026259
167	0.00651629015
168	0.006466825508
169	0.006422062795
170	0.006372753257
171	0.00630444074
172	0.006237601719
173	0.006171009785
174	0.006147616716
175	0.00611212672
176	0.006074134599
177	0.006044375108
178	0.005981376107
179	0.005933428456
180	0.005895667586
181	0.005840887666
182	0.005776353587
183	0.005727663871
184	0.005689407773
185	0.005660773589
186	0.005608774432
187	0.005577307578
188	0.005545335807
189	0.005479726897
