iter	Passed	Remaining
450	1072	1305
451	1075	1303
452	1077	1301
453	1079	1298
454	1082	1296
455	1084	1293
456	1086	1291
457	1088	1288
458	1089	1284
459	1092	1281
460	1092	1277
461	1095	1275
462	1097	1272
463	1099	1270
464	1102	1268
465	1104	1266
466	1107	1264
467	1109	1261
468	1112	1259
469	1114	1256
470	1116	1253
471	1118	1251
472	1121	1249
473	1123	1247
474	1126	1244
475	1128	1242
476	1130	1239
477	1132	1236
478	1133	1233
479	1135	1230
480	1136	1226
481	1136	1221
482	1139	1219
483	1141	1216
484	1143	1214
485	1146	1212
486	1148	1210
487	1151	1207
488	1153	1205
489	1155	1203
490	1158	1201
491	1160	1198
492	1163	1196
493	1165	1193
494	1167	1191
495	1169	1188
496	1172	1186
497	1174	1184
498	1177	1181
499	1179	1179
500	1180	1175
501	1180	1171
502	1183	1168
503	1185	1166
504	1185	1162
505	1188	1159
506	1188	1156
507	1191	1154
508	1194	1151
509	1196	1149
510	1198	1146
511	1200	1144
512	1202	1141
513	1205	1139
514	1205	1135
515	1208	1133
516	1211	1131
517	1213	1129
518	1216	1127
519	1218	1124
520	1220	1122
521	1223	1120
522	1226	1118
523	1228	1116
524	1231	1114
525	1233	1111
526	1234	1107
527	1236	1105
528	1237	1101
529	1239	1099
530	1242	1096
531	1244	1094
532	1246	1092
533	1249	1090
534	1251	1087
535	1254	1085
536	1256	1083
537	1258	1080
538	1261	1078
539	1264	1077
540	1266	1074
541	1269	1072
542	1271	1070
543	1274	1068
544	1276	1065
545	1277	1062
546	1280	1060
547	1281	1056
548	1283	1054
549	1285	1052
550	1288	1049
551	1290	1047
552	1293	1045
553	1295	1042
554	1297	1040
555	1300	1038
556	1301	1035
557	1303	1032
558	1306	1030
559	1308	1028
560	1310	1025
561	1311	1022
562	1313	1019
563	1316	1017
564	1318	1015
565	1321	1012
566	1323	1010
567	1325	1008
568	1328	1006
569	1328	1002
570	1329	998
571	1331	996
572	1332	992
573	1334	990
574	1335	987
575	1337	984
576	1339	982
577	1342	979
578	1344	977
579	1346	975
580	1347	971
581	1349	969
582	1351	966
583	1353	964
584	1356	961
585	1358	959
586	1360	957
587	1363	955
588	1365	952
589	1367	950
590	1367	946
591	1370	944
592	1372	942
593	1373	938
594	1375	936
595	1377	933
596	1380	931
597	1382	929
598	1384	926
599	1386	924
600	1388	922
601	1391	919
602	1393	917
603	1396	915
604	1398	912
605	1400	910
606	1402	908
607	1403	904
608	1405	902
609	1407	900
610	1409	897
611	1412	895
612	1414	892
613	1416	890
614	1419	888
615	1421	886
616	1423	883
617	1425	881
618	1428	879
619	1430	876
620	1432	874
621	1435	872
622	1435	868
623	1438	866
624	1440	864
625	1442	862
626	1445	859
627	1445	856
628	1447	853
629	1449	851
630	1451	848
631	1453	846
632	1455	843
633	1457	841
634	1459	839
635	1462	836
636	1464	834
637	1466	832
